Taxon,Strain,Accession ID,Originating Laboratory,Submitting Laboratory,Authors
Australia/VIC1655/2020|2020-05-02,Australia/VIC1655/2020,EPI_ISL_456557,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al
Australia/VIC1696/2020|2020-05-17,Australia/VIC1696/2020,EPI_ISL_456583,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al
Australia/VIC1697/2020|2020-05-17,Australia/VIC1697/2020,EPI_ISL_456584,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al
Australia/VIC1716/2020|2020-05-19,Australia/VIC1716/2020,EPI_ISL_456618,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al
Australia/VIC1725/2020|2020-05-23,Australia/VIC1725/2020,EPI_ISL_456625,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al
Australia/VIC1794/2020|2020-05-26,Australia/VIC1794/2020,EPI_ISL_456654,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al
Australia/VIC497/2020|2020-03-23,Australia/VIC497/2020,EPI_ISL_426770,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al
Australia/VIC595/2020|2020-03-25,Australia/VIC595/2020,EPI_ISL_426852,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al
Australia/VIC711/2020|2020-03-29,Australia/VIC711/2020,EPI_ISL_426998,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al
Australia/VIC752/2020|2020-03-30,Australia/VIC752/2020,EPI_ISL_427029,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al
Australia/WA11/2020|2020-02-22,Australia/WA11/2020,EPI_ISL_420456,PathWest Laboratory Medicine WA,PathWest Laboratory Medicine WA,Chisha Sikazwe et al
Austria/CeMM0045/2020|2020-02-24,Austria/CeMM0045/2020,EPI_ISL_437932,"Institut für Virologie am Department für Hygiene, Mikrobiologie und Public Health","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al
Austria/CeMM0108/2020|2020-03-13,Austria/CeMM0108/2020,EPI_ISL_437967,Universitaetsklinik für Innere Medizin II Innsbruck,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al
Austria/CeMM0171/2020|2020-03-07,Austria/CeMM0171/2020,EPI_ISL_438016,"Center for Virology, Medical University of Vienna","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al
Austria/CeMM0247/2020|2020-03-21,Austria/CeMM0247/2020,EPI_ISL_438077,"Center for Virology, Medical University of Vienna","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al
Austria/CeMM0249/2020|2020-03-21,Austria/CeMM0249/2020,EPI_ISL_438079,"Center for Virology, Medical University of Vienna","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al
Austria/CeMM0360/2020|2020-04-05,Austria/CeMM0360/2020,EPI_ISL_438123,"Center for Virology, Medical University of Vienna","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al
Austria/CeMM0364/2020|2020-04-05,Austria/CeMM0364/2020,EPI_ISL_438127,"Center for Virology, Medical University of Vienna","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al
Bangladesh/Akbiomed_01/2020|2020-04-25,Bangladesh/Akbiomed_01/2020,EPI_ISL_445244,Akbiomed lab,Tejgaon College bmb lab,Md.Abdul kaium et al
Bangladesh/BARJ_CVASU_CTG_503/2020|2020-05-13,Bangladesh/BARJ_CVASU_CTG_503/2020,EPI_ISL_450341,"Bangladesh Institute of Tropical & Infectious Diseases, COVID-19 Testing Laboratory",Basic and Applied Research on Jute Project,Md. Sabbir Hossain et al
Bangladesh/BARJ_CVASU_CTG_506/2020|2020-05-08,Bangladesh/BARJ_CVASU_CTG_506/2020,EPI_ISL_450342,"Bangladesh Institute of Tropical & Infectious Diseases, COVID-19 Testing Laboratory",Basic and Applied Research on Jute Project,Rasel Ahmed et al
Bangladesh/BCSIR_NILMRC_008/2020|2020-05-21,Bangladesh/BCSIR_NILMRC_008/2020,EPI_ISL_455459,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_050/2020|2020-05-21,Bangladesh/BCSIR-NILMRC_050/2020,EPI_ISL_462098,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_051/2020|2020-05-07,Bangladesh/BCSIR-NILMRC_051/2020,EPI_ISL_466626,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_054/2020|2020-06-01,Bangladesh/BCSIR-NILMRC_054/2020,EPI_ISL_466628,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_057/2020|2020-05-10,Bangladesh/BCSIR-NILMRC_057/2020,EPI_ISL_466630,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_064/2020|2020-05-31,Bangladesh/BCSIR-NILMRC_064/2020,EPI_ISL_464163,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Tanjina Akhter Banu et al
Bangladesh/BCSIR-NILMRC_067/2020|2020-05-26,Bangladesh/BCSIR-NILMRC_067/2020,EPI_ISL_466637,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_069/2020|2020-05-26,Bangladesh/BCSIR-NILMRC_069/2020,EPI_ISL_466638,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_070/2020|2020-05-26,Bangladesh/BCSIR-NILMRC_070/2020,EPI_ISL_466639,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_072/2020|2020-05-26,Bangladesh/BCSIR-NILMRC_072/2020,EPI_ISL_466687,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_074/2020|2020-06-01,Bangladesh/BCSIR-NILMRC_074/2020,EPI_ISL_466690,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_075/2020|2020-06-01,Bangladesh/BCSIR-NILMRC_075/2020,EPI_ISL_466691,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_076/2020|2020-06-01,Bangladesh/BCSIR-NILMRC_076/2020,EPI_ISL_466644,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_077/2020|2020-06-01,Bangladesh/BCSIR-NILMRC_077/2020,EPI_ISL_466645,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_078/2020|2020-06-01,Bangladesh/BCSIR-NILMRC_078/2020,EPI_ISL_466693,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_083/2020|2020-06-01,Bangladesh/BCSIR-NILMRC_083/2020,EPI_ISL_464161,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Md. Ahasan Habib et al
Bangladesh/BCSIR-NILMRC_086/2020|2020-06-01,Bangladesh/BCSIR-NILMRC_086/2020,EPI_ISL_466688,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Abu Sayeed Mohammad Mahmud et al
Bangladesh/BCSIR-NILMRC_090/2020|2020-06-02,Bangladesh/BCSIR-NILMRC_090/2020,EPI_ISL_469285,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Shahina Akter et al
Bangladesh/BCSIR-NILMRC_094/2020|2020-05-23,Bangladesh/BCSIR-NILMRC_094/2020,EPI_ISL_469286,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Tanjina Akhter Banu et al
Bangladesh/BCSIR-NILMRC_095/2020|2020-05-23,Bangladesh/BCSIR-NILMRC_095/2020,EPI_ISL_469297,National Institute of Laboratory Medicine and Referral Center,"Genomic Research Lab, BCSIR",Barna Goswami et al
Bangladesh/CHRF_0003/2020|2020-04-17,Bangladesh/CHRF_0003/2020,EPI_ISL_468071,Child Health Research Foundation,Child Health Research Foundation,Senjuti Saha et al
Bangladesh/CHRF_0004/2020|2020-04-17,Bangladesh/CHRF_0004/2020,EPI_ISL_468072,Child Health Research Foundation,Child Health Research Foundation,Senjuti Saha et al
Bangladesh/CHRF_0008/2020|2020-05-16,Bangladesh/CHRF_0008/2020,EPI_ISL_468076,Child Health Research Foundation,Child Health Research Foundation,Senjuti Saha et al
Bangladesh/DU_50758/2020|2020-05-06,Bangladesh/DU_50758/2020,EPI_ISL_450840,COVID-19 Laboratory,DNA Solution Ltd. L-5,Sharif Akhteruzzaman et al
Bangladesh/DU_CARS_5586/2020|2020-05-13,Bangladesh/DU_CARS_5586/2020,EPI_ISL_450841,COVID-19 Laboratory,DNA Solution Ltd,Sharif Akhteruzzaman et al
Bangladesh/icddrb-2083/2020|2020-06-07,Bangladesh/icddrb-2083/2020,EPI_ISL_470801,Virology,Virology,Hossain et al
Beijing/DT-BJ01/2020|2020-02-11,Beijing/DT-BJ01/2020,EPI_ISL_452358,Laboratory of Infectious Diseases Center of Beijing Ditan Hospital,Laboratory of Infectious Diseases Center of Beijing Ditan Hospital,Siyuan Yang et al
Beijing/IVDC-01-06/2020|2020-06-11,Beijing/IVDC-01-06/2020,EPI_ISL_469254,"National Institute for Viral Disease Control and Prevention, China CDC","Institute of Viral Disease Control and Prevention, China CDC",Wenjie Tan et al
Beijing/IVDC-02-06/2020|2020-06-11,Beijing/IVDC-02-06/2020,EPI_ISL_469255,"National Institute for Viral Disease Control and Prevention, China CDC","Institute of Viral Disease Control and Prevention, China CDC",Xiang Zhao et al
Belgium/030959/2020|2020-03-09,Belgium/030959/2020,EPI_ISL_420320,"KU Leuven, Clinical and Epidemiological Virology","KU Leuven, Clinical and Epidemiological Virology",Joan Marti-Carreras et al
Belgium/CS-031052/2020|2020-03-10,Belgium/CS-031052/2020,EPI_ISL_418800,"KU Leuven, Clinical and Epidemiological Virology","KU Leuven, Clinical and Epidemiological Virology",Bert Vanmechelen et al
Belgium/GHB-03021/2020|2020-02-03,Belgium/GHB-03021/2020,EPI_ISL_407976,"KU Leuven, Clinical and Epidemiological Virology","KU Leuven, Clinical and Epidemiological Virology",Bert Vanmechelen et al
Belgium/ULG-10151/2020|2020-04-18,Belgium/ULG-10151/2020,EPI_ISL_447148,Department of Clinical Microbiology,GIGA Medical Genomics,Keith Durkin et al
Belgium/ULG-10153/2020|2020-04-18,Belgium/ULG-10153/2020,EPI_ISL_447149,Department of Clinical Microbiology,GIGA Medical Genomics,Keith Durkin et al
Belgium/ULG-10163/2020|2020-04-19,Belgium/ULG-10163/2020,EPI_ISL_447157,Department of Clinical Microbiology,GIGA Medical Genomics,Keith Durkin et al
Bosnia_and_Herzegovina/01-Livno/2020|2020-05-27,Bosnia_and_Herzegovina/01-Livno/2020,EPI_ISL_462753,University Clinical Hospital of Mostar,University of Sarajevo Veterinary Faculty,Goletic et al
Bosnia_and_Herzegovina/ChVir7379/2020|2020-03-29,Bosnia_and_Herzegovina/ChVir7379/2020,EPI_ISL_462476,"Clinical Center, University of Sarajevo","Charite Universitatsmedizin Berlin, Institute of Virology",Victor M Corman et al
Bosnia_and_Herzegovina/ChVir7396/2020|2020-04-21,Bosnia_and_Herzegovina/ChVir7396/2020,EPI_ISL_462466,"Clinical Center, University of Sarajevo","Charite Universitatsmedizin Berlin, Institute of Virology",Victor M Corman et al
Bosnia_and_Herzegovina/ChVir7402/2020|2020-04-22,Bosnia_and_Herzegovina/ChVir7402/2020,EPI_ISL_462470,"Clinical Center, University of Sarajevo","Charite Universitatsmedizin Berlin, Institute of Virology",Victor M Corman et al
Brazil/MG0212/2020|2020-03-14,Brazil/MG0212/2020,EPI_ISL_470579,Hermes Pardini,Bioinformatics Laboratory / LNCC,Alexandra Gerber et al
Brazil/RJ-1719/2020|2020-04-06,Brazil/RJ-1719/2020,EPI_ISL_456088,LACEN RJ - Laboratório Central de Saúde Pública Noel Nutels,"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ",Paola Resende et al
Brazil/RJ-2044/2020|2020-04-15,Brazil/RJ-2044/2020,EPI_ISL_456101,"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ","Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ",Paola Resende et al
Brazil/SP-606/2020|2020-04-10,Brazil/SP-606/2020,EPI_ISL_471548,Hospital do Servidor Público Estadual Francisco Morato de Oliveira,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory",Claudio Tavares Sacchi et al
Brunei/2/2020|2020-03-11,Brunei/2/2020,EPI_ISL_435674,National Virology Reference Laboratory,"National Public Health Laboratory, National Centre for Infectious Diseases",Mak Tze Minn et al
Brunei/3/2020|2020-03-11,Brunei/3/2020,EPI_ISL_435675,National Virology Reference Laboratory,"National Public Health Laboratory, National Centre for Infectious Diseases",Mak Tze Minn et al
Cambodia/0012/2020|2020-01-27,Cambodia/0012/2020,EPI_ISL_411902,"Virology Unit, Institut Pasteur du Cambodge.","Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)",Erik A Karlsson et al
Canada/BC_37_0-2/2020|2020-02-16,Canada/BC_37_0-2/2020,EPI_ISL_412965,BCCDC Public Health Laboratory,BCCDC Public Health Laboratory,Harrigan et al
Canada/BC_4143868/2020|2020-03-04,Canada/BC_4143868/2020,EPI_ISL_418828,BCCDC Public Health Laboratory,BCCDC Public Health Laboratory,Harrigan et al
Canada/ON_ON-VIDO-01-2/2020|2020-01-23,Canada/ON_ON-VIDO-01-2/2020,EPI_ISL_425177,Public Health Ontario,Public Health Agency of Canada - National Microbiology Laboratory,Amrit S. Boese et al
Canada/ON_PHL2259/2020|2020-02-29,Canada/ON_PHL2259/2020,EPI_ISL_418344,Public Health Ontario Laboratories,Public Health Ontario Laboratories,Alireza Eshaghi et al
Canada/ON_PHL2273/2020|2020-02-29,Canada/ON_PHL2273/2020,EPI_ISL_418383,Public Health Ontario Laboratories,Public Health Ontario Laboratories,Alireza Eshaghi et al
Canada/ON_PHL2445/2020|2020-01-25,Canada/ON_PHL2445/2020,EPI_ISL_413014,Public Health Ontario Laboratory,Ontario Agency for Health Protection and Promotion (OAHPP),Alireza Eshaghi et al
Canada/ON_PHL4181/2020|2020-01-25,Canada/ON_PHL4181/2020,EPI_ISL_418327,Public Health Ontario Laboratories,Public Health Ontario Laboratories,Alireza Eshaghi et al
Canada/ON_PHL5472/2020|2020-02-20,Canada/ON_PHL5472/2020,EPI_ISL_418325,Public Health Ontario Laboratories,Public Health Ontario Laboratories,Alireza Eshaghi et al
Canada/ON_PHL6884/2020|2020-03-10,Canada/ON_PHL6884/2020,EPI_ISL_418343,Public Health Ontario Laboratories,Public Health Ontario Laboratories,Alireza Eshaghi et al
Canada/ON-UHTC_0074/2020|2020-04-24,Canada/ON-UHTC_0074/2020,EPI_ISL_464062,Unity Health Toronto,Ontario Institute for Cancer Research,Ramzi Fattouh et al
Canada/ON-UHTC_0081/2020|2020-04-29,Canada/ON-UHTC_0081/2020,EPI_ISL_464064,Unity Health Toronto,Ontario Institute for Cancer Research,Ramzi Fattouh et al
Canada/QC_BD5/2020|2020-04-13,Canada/QC_BD5/2020,EPI_ISL_463969,"Laboratoire de microbiologie, Hopital de Verdun","Smith Laboratory, Centre de Recherche CHU Sainte-Justine",Martin Smith et al
Canada/Qc-L00240804/2020|2020-03-27,Canada/Qc-L00240804/2020,EPI_ISL_465687,CSSS Haut-Richelieu/Rouville (Hôpital),Laboratoire de santé publique du Québec,Sandrine Moreira et al
Chile/Chillan_3/2020|2020-03-11,Chile/Chillan_3/2020,EPI_ISL_445332,HOSPITAL HERMINDA MARTIN CHILLAN,Instituto de Salud Publica de Chile,Andrés E Castillo et al
Chile/Copiapo-00006/2020|2020-04-29,Chile/Copiapo-00006/2020,EPI_ISL_468754,"Laboratorio de Biologia Molecular, Facultad de Medicina, Universidad de Atacama","Center for Mathematical Modeling and Center for Genome Regulation. Santiago, Chile",Gaete A et al
Chile/Santiago_40/2020|2020-03-17,Chile/Santiago_40/2020,EPI_ISL_445319,HOSPITAL FELIX BULNES,Instituto de Salud Publica de Chile,Andrés E Castillo et al
Chile/Santiago_78/2020|2020-04-04,Chile/Santiago_78/2020,EPI_ISL_445375,HOSPITAL SAN JUAN DE DIOS,Instituto de Salud Publica de Chile,Andrés E Castillo et al
Chile/Santiago_81/2020|2020-04-06,Chile/Santiago_81/2020,EPI_ISL_445379,IMALAB- HOSPITAL FACH,Instituto de Salud Publica de Chile,Andrés E Castillo et al
Chile/Santiago-05015/2020|2020-04-29,Chile/Santiago-05015/2020,EPI_ISL_468751,Facultad de Medicina UC,"Center for Mathematical Modeling and Center for Genome Regulation. Santiago, Chile",Gaete A et al
China/WH-09/2020|2020-01-08,China/WH-09/2020,EPI_ISL_411957,"Key Laboratory of Human Diseases, Comparative Medicine, Institute of Laboratory Animal Science","Key Laboratory of Human Diseases, Comparative Medicine, Institute of Laboratory Animal Science",Linlin et al
Chongqing/IVDC-CQ-001/2020|2020-01-18,Chongqing/IVDC-CQ-001/2020,EPI_ISL_408481,"National Institute for Viral Disease Control and Prevention, China CDC","National Institute for Viral Disease Control & Prevention, CCDC",Wenjie Tan et al
Colombia/Bogota78390/2020|2020-03-06,Colombia/Bogota78390/2020,EPI_ISL_418262,Instituto Nacional de Salud,Instituto Nacional de Salud Universidad Cooperativa de Colombia Instituto Alexander von Humboldt Imperial College-London London School of Hygiene & Tropical Medicine,Marcela Mercado-Reyes et al
Colombia/GUR-0209/2020|2020-03-28,Colombia/GUR-0209/2020,EPI_ISL_447740,"Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia","Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA",Juan David Ramírez et al
